Villa,Area,Bulan,Forecast (%),Lower CI 90%,Upper CI 90%,Rentang CI,Flat?
Briana,Canggu,Jan 2026,76.9,69.9,83.8,13.9,Tidak
Briana,Canggu,Feb 2026,78.7,71.5,86.0,14.5,Tidak
Briana,Canggu,Mar 2026,35.4,26.8,44.0,17.2,Tidak
Briana,Canggu,Apr 2026,97.7,86.9,100.0,13.1,Tidak
Briana,Canggu,May 2026,83.3,71.4,95.2,23.8,Tidak
Briana,Canggu,Jun 2026,48.2,32.8,63.7,30.8,Tidak
Castello,Canggu,Jan 2026,37.1,25.0,49.3,24.4,Tidak
Castello,Canggu,Feb 2026,32.9,12.3,53.5,41.2,Tidak
Castello,Canggu,Mar 2026,95.8,72.4,100.0,27.6,Tidak
Castello,Canggu,Apr 2026,74.3,48.0,100.0,52.0,Tidak
Castello,Canggu,May 2026,91.4,60.5,100.0,39.5,Tidak
Castello,Canggu,Jun 2026,97.2,64.1,100.0,35.9,Tidak
Elina,Canggu,Jan 2026,29.0,0.0,61.6,61.6,Tidak
Elina,Canggu,Feb 2026,18.1,0.0,53.7,53.7,Tidak
Elina,Canggu,Mar 2026,24.0,0.0,61.2,61.2,Tidak
Elina,Canggu,Apr 2026,78.6,38.5,100.0,61.5,Tidak
Elina,Canggu,May 2026,28.9,0.0,69.5,69.5,Tidak
Elina,Canggu,Jun 2026,37.6,0.0,79.6,79.6,Tidak
Isola,Canggu,Jan 2026,80.7,55.0,100.0,45.0,Tidak
Isola,Canggu,Feb 2026,73.8,46.2,100.0,53.8,Tidak
Isola,Canggu,Mar 2026,71.8,44.2,99.3,55.1,Tidak
Isola,Canggu,Apr 2026,78.4,50.9,100.0,49.1,Tidak
Isola,Canggu,May 2026,84.4,56.9,100.0,43.1,Tidak
Isola,Canggu,Jun 2026,69.3,42.2,96.4,54.2,Tidak
Eindra,Seminyak,Jan 2026,81.2,62.8,99.5,36.7,Tidak
Eindra,Seminyak,Feb 2026,72.8,53.9,91.7,37.9,Tidak
Eindra,Seminyak,Mar 2026,49.3,30.3,68.2,37.9,Tidak
Eindra,Seminyak,Apr 2026,81.2,62.4,100.0,37.6,Tidak
Eindra,Seminyak,May 2026,96.6,77.8,100.0,22.2,Tidak
Eindra,Seminyak,Jun 2026,74.8,56.0,93.6,37.6,Tidak
Esha,Seminyak,Jan 2026,74.5,51.9,97.0,45.1,Tidak
Esha,Seminyak,Feb 2026,63.5,40.8,86.1,45.3,Tidak
Esha,Seminyak,Mar 2026,63.4,40.5,86.3,45.8,Tidak
Esha,Seminyak,Apr 2026,76.0,53.1,98.9,45.8,Tidak
Esha,Seminyak,May 2026,57.1,29.9,84.3,54.4,Tidak
Esha,Seminyak,Jun 2026,68.2,40.9,95.4,54.5,Tidak
Ozamiz,Seminyak,Jan 2026,86.0,63.5,100.0,36.5,Tidak
Ozamiz,Seminyak,Feb 2026,81.4,57.0,100.0,43.0,Tidak
Ozamiz,Seminyak,Mar 2026,51.7,25.1,78.2,53.2,Tidak
Ozamiz,Seminyak,Apr 2026,83.4,57.1,100.0,42.9,Tidak
Ozamiz,Seminyak,May 2026,66.5,40.1,92.9,52.7,Tidak
Ozamiz,Seminyak,Jun 2026,71.9,45.5,98.3,52.7,Tidak
