Vila,Area,Rank_BIC,Order,Seasonal_Order,BIC,LB_p_value,RMSE,MAPE,Kelayakan
Briana,Canggu,1,"(2, 1, 2)","(0, 1, 2, 7)",81.72,0.0661,17.91,19.21,ELIGIBLE (Ideal)
Briana,Canggu,2,"(1, 1, 2)","(1, 1, 2, 7)",83.15,0.0254,12.28,14.65,BAD METRIC/RESID
Briana,Canggu,3,"(2, 1, 2)","(1, 1, 2, 7)",84.74,0.0737,40.07,46.12,ELIGIBLE (Ideal)
Briana,Canggu,4,"(2, 1, 1)","(1, 1, 2, 7)",89.51,0.5208,33.16,36.24,ELIGIBLE (Ideal)
Briana,Canggu,5,"(1, 1, 1)","(1, 1, 2, 7)",92.17,0.9069,13.08,13.49,ELIGIBLE (Ideal)
Briana,Canggu,6,"(0, 1, 2)","(1, 1, 2, 7)",92.26,0.0,59.57,78.44,BAD METRIC/RESID
Briana,Canggu,7,"(1, 1, 2)","(0, 1, 2, 7)",92.36,0.0642,16.41,17.39,ELIGIBLE (Ideal)
Briana,Canggu,8,"(0, 1, 2)","(0, 1, 2, 7)",93.0,0.0,23.61,30.52,BAD METRIC/RESID
Briana,Canggu,9,"(0, 1, 2)","(2, 1, 2, 7)",93.4,0.0,15.24,17.12,BAD METRIC/RESID
Briana,Canggu,10,"(1, 1, 2)","(2, 1, 2, 7)",94.35,0.0005,13.82,14.7,BAD METRIC/RESID
Castello,Canggu,1,"(2, 1, 2)","(1, 1, 2, 7)",95.56,0.5572,42.26,57.46,ELIGIBLE (Ideal)
Castello,Canggu,2,"(2, 1, 2)","(0, 1, 1, 7)",96.53,0.604,29.87,31.53,ELIGIBLE (Ideal)
Castello,Canggu,3,"(2, 1, 2)","(2, 1, 0, 7)",102.76,0.117,19.5,24.98,ELIGIBLE (Ideal)
Castello,Canggu,4,"(2, 1, 2)","(2, 1, 2, 7)",103.76,0.4704,52.96,75.15,BAD METRIC/RESID
Castello,Canggu,5,"(0, 1, 2)","(1, 1, 2, 7)",104.88,0.5869,21.95,29.98,ELIGIBLE (Ideal)
Castello,Canggu,6,"(2, 1, 2)","(0, 1, 2, 7)",105.02,0.3552,29.99,31.81,ELIGIBLE (Ideal)
Castello,Canggu,7,"(1, 1, 2)","(1, 1, 2, 7)",106.89,0.6074,29.7,41.33,ELIGIBLE (Ideal)
Castello,Canggu,8,"(2, 1, 2)","(2, 1, 1, 7)",107.55,0.6172,30.6,27.82,ELIGIBLE (Ideal)
Castello,Canggu,9,"(0, 1, 2)","(2, 1, 2, 7)",107.99,0.8109,24.69,29.76,ELIGIBLE (Ideal)
Castello,Canggu,10,"(2, 1, 1)","(2, 1, 0, 7)",109.46,0.0652,21.07,26.57,ELIGIBLE (Ideal)
Elina,Canggu,1,"(2, 1, 1)","(2, 1, 0, 4)",205.36,0.1883,44.29,184.38,BAD METRIC/RESID
Elina,Canggu,2,"(2, 1, 2)","(2, 1, 0, 4)",207.3,0.2,44.54,186.77,BAD METRIC/RESID
Elina,Canggu,3,"(2, 1, 1)","(2, 1, 1, 4)",208.28,0.188,44.59,186.73,BAD METRIC/RESID
Elina,Canggu,4,"(2, 1, 0)","(2, 1, 0, 4)",210.14,0.1147,45.36,189.57,BAD METRIC/RESID
Elina,Canggu,5,"(2, 1, 2)","(2, 1, 1, 4)",211.74,0.2548,43.8,179.77,BAD METRIC/RESID
Elina,Canggu,6,"(2, 1, 0)","(2, 1, 1, 4)",213.19,0.1991,45.31,192.59,BAD METRIC/RESID
