Vila,Area,Order,Seasonal Order,AIC,BIC,RMSE,SMAPE,Train (bln),Test (bln),Rank_BIC
Briana,Canggu,"(2, 1, 1)","(0, 1, 1, 7)",10.0,14.72,62.29,136.84,33,3,1
Briana,Canggu,"(2, 1, 1)","(2, 1, 1, 7)",14.0,17.39,25.1,29.69,33,3,2
Briana,Canggu,"(2, 1, 1)","(1, 1, 1, 7)",12.0,17.67,62.29,136.84,33,3,3
Briana,Canggu,"(2, 1, 2)","(0, 1, 2, 7)",78.93,81.72,29.62,36.08,33,3,4
Briana,Canggu,"(1, 1, 2)","(1, 1, 2, 7)",80.36,83.15,33.29,41.28,33,3,5
Briana,Canggu,"(2, 1, 2)","(1, 1, 2, 7)",81.56,84.74,28.58,34.62,33,3,6
Briana,Canggu,"(2, 1, 1)","(1, 1, 2, 7)",86.12,89.51,46.27,63.06,33,3,7
Briana,Canggu,"(1, 1, 1)","(1, 1, 2, 7)",89.26,92.17,25.71,30.57,33,3,8
Briana,Canggu,"(0, 1, 2)","(1, 1, 2, 7)",89.87,92.26,16.19,16.32,33,3,9
Briana,Canggu,"(1, 1, 2)","(0, 1, 2, 7)",89.97,92.36,25.47,30.24,33,3,10
Briana,Canggu,"(0, 1, 2)","(0, 1, 2, 7)",91.01,93.0,17.14,18.88,33,3,11
Briana,Canggu,"(0, 1, 2)","(2, 1, 2, 7)",90.61,93.4,16.01,17.08,33,3,12
Briana,Canggu,"(1, 1, 2)","(2, 1, 2, 7)",91.17,94.35,37.57,47.74,33,3,13
Briana,Canggu,"(1, 1, 1)","(2, 1, 2, 7)",91.26,94.65,14.23,16.32,33,3,14
Briana,Canggu,"(0, 1, 1)","(1, 1, 2, 7)",92.43,94.85,12.55,13.14,33,3,15
Briana,Canggu,"(2, 1, 2)","(2, 1, 2, 7)",93.0,96.58,23.88,27.85,33,3,16
Briana,Canggu,"(1, 1, 1)","(0, 1, 2, 7)",94.24,96.67,23.6,27.44,33,3,17
Briana,Canggu,"(2, 1, 1)","(0, 1, 2, 7)",94.38,97.29,25.81,30.71,33,3,18
Briana,Canggu,"(0, 1, 1)","(2, 1, 2, 7)",94.54,97.45,12.8,13.39,33,3,19
Briana,Canggu,"(2, 1, 0)","(2, 1, 2, 7)",94.25,97.64,27.08,32.52,33,3,20
Briana,Canggu,"(0, 1, 1)","(0, 1, 2, 7)",96.14,98.08,15.94,16.62,33,3,21
Briana,Canggu,"(2, 1, 0)","(2, 1, 0, 7)",95.95,98.37,25.33,30.03,33,3,22
Briana,Canggu,"(2, 1, 2)","(2, 1, 0, 7)",95.69,99.09,32.54,40.2,33,3,23
Briana,Canggu,"(2, 1, 1)","(2, 1, 0, 7)",97.83,100.74,24.69,29.07,33,3,24
Briana,Canggu,"(2, 1, 1)","(2, 1, 2, 7)",97.29,101.17,29.71,36.2,33,3,25
Briana,Canggu,"(2, 1, 0)","(1, 1, 2, 7)",98.58,101.97,22.91,26.9,33,3,26
Briana,Canggu,"(2, 1, 0)","(0, 1, 2, 7)",100.27,103.1,19.02,20.78,33,3,27
Briana,Canggu,"(1, 1, 1)","(2, 1, 0, 7)",101.99,104.81,23.68,27.53,33,3,28
Briana,Canggu,"(1, 1, 2)","(2, 1, 0, 7)",103.76,107.15,23.51,27.26,33,3,29
Briana,Canggu,"(1, 1, 0)","(1, 1, 2, 7)",105.6,108.43,25.14,29.77,33,3,30
Briana,Canggu,"(1, 1, 0)","(0, 1, 2, 7)",106.42,108.68,21.49,24.32,33,3,31
Briana,Canggu,"(1, 1, 0)","(2, 1, 0, 7)",106.76,109.02,23.5,27.31,33,3,32
Briana,Canggu,"(1, 1, 0)","(2, 1, 2, 7)",107.52,110.91,23.2,26.89,33,3,33
Briana,Canggu,"(0, 1, 0)","(1, 1, 2, 7)",110.72,112.98,14.06,15.24,33,3,34
Briana,Canggu,"(0, 1, 0)","(0, 1, 2, 7)",111.49,113.18,14.22,15.02,33,3,35
Briana,Canggu,"(0, 1, 1)","(2, 1, 0, 7)",111.71,114.26,14.76,13.86,33,3,36
Briana,Canggu,"(0, 1, 2)","(2, 1, 0, 7)",111.07,114.27,17.36,15.63,33,3,37
Briana,Canggu,"(0, 1, 0)","(2, 1, 2, 7)",112.72,115.55,12.98,13.57,33,3,38
Briana,Canggu,"(0, 1, 0)","(2, 1, 0, 7)",119.63,121.55,13.63,14.69,33,3,39
Briana,Canggu,"(2, 1, 0)","(1, 1, 0, 7)",149.91,153.68,21.05,23.62,33,3,40
Briana,Canggu,"(2, 1, 1)","(1, 1, 0, 7)",150.38,155.1,16.68,18.31,33,3,41
Briana,Canggu,"(2, 1, 2)","(1, 1, 0, 7)",152.38,158.05,19.8,21.89,33,3,42
Briana,Canggu,"(1, 1, 0)","(1, 1, 0, 7)",157.11,160.09,17.22,18.83,33,3,43
Briana,Canggu,"(1, 1, 1)","(1, 1, 0, 7)",157.67,161.65,17.2,18.83,33,3,44
Briana,Canggu,"(1, 1, 2)","(1, 1, 0, 7)",158.63,163.61,22.74,26.23,33,3,45
Briana,Canggu,"(0, 1, 1)","(1, 1, 0, 7)",167.99,171.12,14.06,13.5,33,3,46
Briana,Canggu,"(0, 1, 2)","(1, 1, 0, 7)",168.6,172.78,14.07,13.56,33,3,47
Briana,Canggu,"(0, 1, 0)","(1, 1, 0, 7)",177.78,179.87,14.13,16.79,33,3,48
Briana,Canggu,"(1, 1, 2)","(0, 1, 0, 7)",210.0,214.87,15.42,17.7,33,3,49
Briana,Canggu,"(2, 1, 2)","(0, 1, 0, 7)",211.49,217.58,17.26,20.27,33,3,50
Briana,Canggu,"(0, 1, 2)","(0, 1, 0, 7)",215.22,218.88,12.11,12.81,33,3,51
Briana,Canggu,"(0, 1, 1)","(0, 1, 0, 7)",221.66,224.17,12.1,12.77,33,3,52
Briana,Canggu,"(2, 1, 1)","(0, 1, 0, 7)",220.47,225.5,12.39,14.37,33,3,53
Briana,Canggu,"(1, 1, 1)","(0, 1, 0, 7)",222.25,226.02,19.38,22.23,33,3,54
Briana,Canggu,"(2, 1, 0)","(0, 1, 0, 7)",222.27,226.05,18.02,20.73,33,3,55
Briana,Canggu,"(1, 1, 0)","(0, 1, 0, 7)",227.62,230.21,16.88,19.54,33,3,56
Briana,Canggu,"(0, 1, 0)","(0, 1, 0, 7)",247.86,249.16,12.35,12.92,33,3,57
Briana,Canggu,"(1, 1, 0)","(2, 1, 1, 7)",533.9,536.72,23.62,27.47,33,3,58
Briana,Canggu,"(2, 1, 2)","(2, 1, 1, 7)",539.51,543.39,36.72,46.42,33,3,59
Briana,Canggu,"(2, 1, 0)","(2, 1, 1, 7)",545.66,548.57,32.74,40.49,33,3,60
Briana,Canggu,"(0, 1, 0)","(2, 1, 1, 7)",551.8,554.36,14.22,16.61,33,3,61
