,,Bulan,Aktual y_i (%),Prediksi ŷ_i (%),Error (y_i − ŷ_i),Error²,|Error/y_i|×100%
Briana — Test,0,Jun 2025,66.67,65.39,1.2808,1.6405,1.92
Briana — Test,1,Jul 2025,61.29,50.56,10.7329,115.1942,17.51
Briana — Test,2,Aug 2025,74.19,61.56,12.6331,159.5943,17.03
Briana — Test,3,Sep 2025,66.67,57.23,9.4334,88.9892,14.15
Briana — Test,4,Oct 2025,80.65,86.95,-6.3047,39.7491,7.82
Briana — Test,5,Nov 2025,90.0,58.41,31.5913,998.01,35.1
Briana — Test,6,Dec 2025,70.97,100.0,-29.0323,842.872,40.91
Briana — Test,7,Jumlah,—,—,—,2246.0494,134.44%
Briana — Test,8,RMSE,—,—,—,sqrt(1/7 * 2246.0494) = sqrt320.8642 = 17.91%,—
Briana — Test,9,MAPE,—,—,—,—,1/7 * 134.44 = 19.21%
Briana — Train,0,Jan 2023,61.29,0.0,61.2903,3756.5036,100.0
Briana — Train,1,Feb 2023,50.0,35.92,14.0778,198.1845,28.16
Briana — Train,2,Mar 2023,54.84,69.29,-14.4512,208.838,26.35
Briana — Train,3,Apr 2023,63.33,43.24,20.0962,403.8574,31.73
Briana — Train,4,May 2023,93.55,60.95,32.5981,1062.6339,34.85
Briana — Train,5,Jun 2023,70.0,69.69,0.3053,0.0932,0.44
Briana — Train,6,Jul 2023,83.87,98.78,-14.9103,222.3169,17.78
Briana — Train,7,Aug 2023,61.29,99.07,-37.7768,1427.0887,61.64
Briana — Train,8,Sep 2023,73.33,100.0,-26.6667,711.1111,36.36
Briana — Train,9,Oct 2023,58.06,50.36,7.7004,59.2961,13.26
Briana — Train,10,Nov 2023,60.0,90.82,-30.8197,949.8525,51.37
Briana — Train,11,Dec 2023,54.84,98.97,-44.1301,1947.4663,80.47
Briana — Train,12,Jan 2024,80.65,75.42,5.2292,27.3446,6.48
Briana — Train,13,Feb 2024,62.07,34.3,27.7649,770.8897,44.73
Briana — Train,14,Mar 2024,80.65,78.28,2.3626,5.5819,2.93
Briana — Train,15,Apr 2024,50.0,42.57,7.4332,55.2519,14.87
Briana — Train,16,May 2024,54.84,86.49,-31.6514,1001.8109,57.72
Briana — Train,17,Jun 2024,50.0,33.1,16.8998,285.6034,33.8
